Billing Document,Item,Billing Type,Billing Date,Billing Qty in SKU,Material,Item Description,Material Group,Assignment
60000742,20,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000742
60000743,10,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000743
60000743,20,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000743
60000744,10,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000744
60000744,20,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000744
60000745,10,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000745
60000745,40,ZF2,02/04/2025,500,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000745
60000745,60,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000745
60000745,70,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000745
60000745,90,ZF2,02/04/2025,500,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000745
60000745,100,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000745
60000745,110,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000745
60000745,120,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000745
60000746,10,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000746,20,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,30,ZF2,02/04/2025,50,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000746
60000746,40,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,50,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000746,60,ZF2,02/04/2025,50,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000746
60000746,70,ZF2,02/04/2025,50,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000746
60000746,80,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,90,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000746,100,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000746,110,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,120,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,130,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,140,ZF2,02/04/2025,50,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000746
60000746,150,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000746,160,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,170,ZF2,02/04/2025,50,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000746
60000746,180,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000746,190,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000746
60000746,200,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000746
60000747,10,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000747
60000747,20,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000747
60000748,10,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000748
60000748,20,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000748
60000748,30,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000748
60000749,10,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000749
60000749,20,ZF2,02/04/2025,225,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000749
60000749,30,ZF2,02/04/2025,400,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000749
60000750,10,ZF2,02/04/2025,400,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000750
60000750,20,ZF2,02/04/2025,225,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000750
60000750,30,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000750
60000751,10,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000751
60000751,20,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000751
60000751,30,ZF2,02/04/2025,500,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000751
60000752,10,ZF2,02/04/2025,200,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000752
60000752,20,ZF2,02/04/2025,1250,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000752
60000753,10,ZF2,02/04/2025,300,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000753
60000754,10,ZF2,02/04/2025,1000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000754
60000755,10,ZF2,02/04/2025,200,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000755
60000756,10,ZF2,02/04/2025,450,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000756
60000757,10,ZF2,02/04/2025,375,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000757
60000758,10,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000758
60000758,20,ZF2,02/04/2025,1000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000758
60000759,10,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000759
60000760,10,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000760
